項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
986,1,,どぅぐる,,[duguru],,(名詞),175,,場所。,,,,,,,【例】なんたはまや どぅなんとぅぬ ちむすらし どぅぐる。 うた に あるに どぅなんちまぬ いってぃん うとぅたがる どぅぐるどぅ  ない=ぶる,〈ナンタ浜は、与那国島の人の心が晴れ晴れとするところです。歌にも歌われていて、与那国では有名な場所です〉,,,,,,,,,,,,,,,,,,,,
987,1,,どぅぐん,,[dugu-],B,(動詞),175,,(1)休む。,,,,,,,【例】あっつぁるゆんがら どぅぐい どぅぐい いり,〈暑いんだから休み休みやりなさい〉,いってぃたどぅ ありゃ うみ どぅぐいんだ ぎ,〈息苦しいのでここで休みましょう〉,,,,,,,,,,,,,,,,,,
987,2,,どぅぐん,,[dugu-],B,(動詞),175,,〈寝る〉の尊敬語。,,,(語源)日本語イコウ〈憩う〉に対応。,[*yokow->dogo'->dugu-],,,【例】「あさや　まー　どぅぐいどぅ　わるな？」「おー」〈おじいさんはもうお休みですか。はい〉,,,,,,,,,,,,,,,,,,,,,
988,1,,とぅｎく゚ん,,[tuŋ-],B,(動詞),175,,研(と)ぐ。,,,(語源)日本語トグ〈研ぐ〉に対応。,[tog->tuŋ-],,,【例】だまかたな とぅぐん,〈山刀を研ぐ〉,いらら とぅでぃ  うとぅぎ。 あったがら まい かるんど,〈鎌を研いでおきなさい。明日から 稲刈りだよ〉,,,,,,,,,,,,,,,,,,
989,1,,どぅさい,,[dusai],,(名詞),175,,今晩。,,,,,,,【例】どぅさいや ぬーば はりるかや?,〈今晩は何を食べようかな?〉,,,,,,,,,,,,,,,,,,,,
990,1,,どぅさび,,[dusabi],,(名詞),175,,夕方。,〔同〕てぃんだいり-かがい,,,,,,【例】いすがさどぅ あんか゚ きっつぁ  どぅさび ない=みぬんすや,〈忙しいのに早々と夕方になってしまった〉,,,,,,,,,,,,,,,,,,,,
991,1,,とぅし,,[tusi],,(副詞),175,,しっかりと。,,,,,,,【例】とぅし かちみるん,〈しっかりと捕まえる〉,,,,,,,,,,,,,,,,,,,,
992,1,,どぅし,,[dusi],,(名詞),175,,水雑炊。おじや。,,,(語源)日 本語ゾウスイ〈増水・雑炊〉に対応。,[zousui>duusii],(関連用語)つぁしどぅ し〈おじやに対し、固い方。五目御飯〉,,【例】どぅし まがし=んに,〈雑炊を炊いてごらん〉,,,,,,,,,,,,,,,,,,,,
993,1,,とぅしか,,[tusiKa],,(感動詞),175,,丁塚。「とーしか」とも。地震のときに唱える呪文(じゅもん)。,,,(語源)九州方言チョウヅカ〈丁塚〉に対応。,[*kyautuka>cyoocika>tosiKa>tusiKa],,,【例】とぅしか= とぅしか ない すんどー,〈丁塚丁塚、地震が来たぞ〉,,,,,,,,,,,,,,,,,,,,
994,1,,どぅしき,,[dusiKi],C,(名詞),176,〔植物〕,ススキ。イネ科の多年草植物。秋に茶褐色や紫色を帯びた穂を出す。葉は牛や馬の餌になる。穂を束にしてホウキにすることもあった。,,,(語源)沖縄方言グシチ /(0)gusici/ に対応。,[gisuki>z isiki>dis(i)Ki>dusiKi],(関連用語)どぅしきふてぃ〈ススキの箒〉,(文化的・民 俗学的背景)種取祭には供物とともに「あちだぎ」と呼ばれる箸を供えた,【例】どぅ しきや どぅんく゚や ちるび くろとんぬ はなんたとぅ いきるん,〈ススキは十五夜にマサキやクロトンの花とともに活けている〉,, たなどぅいにや まい どぅしきんに きー でぃがし=わい=たばりん でぃどぅ どぅしきぬ はー あまだいんき かだいてぃ にんか゚い=ぶる,〈種取祭では稲がススキのように、育ってくれますようにと、ススキの葉を家 の四隅に飾って祈っている〉,どぅなん とぅばるまにん どぅしきや「な ちぬ うぶ-き かたがや ばー いやとぅ たんき゚んか゚いに き ふゆぬ  どぅしき かたがや ばー あぶたぬ ふとぅくるに」んでぃ うた きら り=ぶる,〈与那国とぅばるまにもススキについては「夏の大木の蔭はわが父 とひとしなみに頼もしく思い、冬のススキの蔭は母の懐のようなぬくもりを 感じる」と歌われている〉,,,,,,,,,,,,,,,
995,1,,どぅた,,[duTa],A,(名詞),176,,巫女(みこ)。シャーマン。いちこ。神がかって吉凶を占う女。,,,(語源)沖縄方言ユタ /(1)yuta/ に対応。,[yuta>duTa],,,【例】ばやぬ  あぶや どぅたぬ だー かゆい ならぬん,〈我が家のおばあさんは占い師の家へ何度も通っている〉,,,,,,,,,,,,,,,,,,,,
996,1,,どぅだ,,[duda],A,(名詞),176,,枝。,,,(語源)日本語エダ〈枝〉に対応。,[*yoda>doda>duda],,,【例】みー ‘かい=ぶる くすぬ どぅだ むぬぬぎむぬんでぃ だー ぬ ながに さんき゚=ぶたん,〈実のついた唐辛子の枝を魔除けとして家の中に吊り下げていたよ〉,,,,,,,,,,,,,,,,,,,,
997,1,,どぅだい,,[dudai],A,(名詞),176,,(1)涎(よだれ)。(2)何の役に立たない者への悪口。,,,(語源)日本語ヨダ レ(ヨダリ)に対応。,[yodari>dodai>dudai],,,【例】 ど ぅ だ い   さ ん て ぃ=ぶる あがみてぃとぅ どぅぬむぬ どぅどぅならぬんすや くぬむぬや,〈よだれを垂たしている子供のように役に立たない者め〉,,,,,,,,,,,,,,,,,,,,
998,1,,どぅたいんとぅ,,[duTaiNTu],A,(数詞),176,,四人。,,,(語源)ヨタリビト に対応。,[yotaribito>doTaiNTo>duTaiNTu],,,【例】んな かぐんすや どぅたいんとぅ ぶりやどぅ なるどー ,〈大綱をつくるときは、四人の人数がいないとできないぞ〉,,,,,,,,,,,,,,,,,,,,
999,1,,どぅだち,,[dudaCi],,(名詞),177,,多忙なさま。,,,,,,,【例】どぅだち きらにぬんき ぶるんでゃー,〈忙しくしやることしているよ〉,,,,,,,,,,,,,,,,,,,,
1000,1,例文なし,どぅだてぃ,,[dudaTi],,(名詞),177,,梢(こずえ)。「どぅだ」〈枝〉に指小辞「~てぃ」が付いた形。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1,,どぅたぶりるん,,[duTaburir-],,(動詞),177,,溢(こぼ)す。,,,,,,,【例】あらーぐ しっぱい いりんか゚しや どぅたぶりるんど,〈あんまりたくさん入れるとこぼすよ〉,,,,,,,,,,,,,,,,,,,,
1002,1,,どぅだん,,[dudaN],,(名詞),177,,なまけ。ふまじめ。油断。,,,,,,,【例】ひゃぐすや どぅだん きがらや ぬん な らぬんど,〈百姓をやる者には、ふまじめでは、何もならないよ〉,まぎるん でぃ うまぬたんか゚ どぅだん きー みぬんすや,〈負けるとは思わなかっ たが、油断したんでしょう〉,,,,,,,,,,,,,,,,,,
1003,1,,とぅち,,[tuCi],B,(名詞),177,,年。,,,(語源)日本語トシ〈年〉に対応。 ,[tosi>toCi>tuCi],,,【例】ないや とぅち とぅい うむるに ういがにぬんすや,〈もう年を取って思うように動けなくなってしまったよ〉,,,,,,,,,,,,,,,,,,,,
1004,1,,どぅち,,[duCi],,(名詞),177,,友達。,〔同〕あんく゚,,(語源)沖縄方言ドゥ シ /dusi/ に対応。※ 古語ドチ〈同類〉と関係あるか,[*dosi >duCi],,,【例】かりとぅ あぬや あんび どぅち,〈彼と俺は遊び友達だ〉,どぅち うぶさびてい とぅびらい きるんでぃ でゃでぃ,〈友達 が多すぎて交際するのが大変だ〉,,,,,,,,,,,,,,,,,,
1005,1,,‘とぅち,,[TuCi],C,(数詞),177,,「‘とぅーち」とも。一つ。,,,(語源)日本語ヒトツ〈一つ〉 に対応。,[pitotu>hitoci>s(i)ToCi>TuCi],,,【例】‘とぅちぬ すだ,〈一歳年上の人〉, ‘とぅち=ばがい ぬぐた んさん,〈一つだけ残せばいい〉,,,,,,,,,,,,,,,,,,
1006,1,例文なし,どぅちばぐ,,[duCibagu],,(名詞),178,,女性用の枕。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,1,,どぅっかぬみ,,[duKanumi],,(名詞),178,,豚便所にある人間が用を足すときの便器の穴。穴の上に木の網があった。,,,,,,,【例】いびさるた わーふるやぬ つーまる あなんぷ どぅっかぬみん でぃ んでぃ=ぶたるえー,〈小さい頃、豚便所にあった便器の穴を「どぅっかぬみ」と言っていたね〉,,,,,,,,,,,,,,,,,,,,
1008,1,,‘とぅった,,[TuTa],,(名詞),178,,おでき。,,,,,,,【例】みんぶるに ‘とぅった はいつぁり ならぬん,〈頭におできがたくさん出来てどうしようもない〉,,,,,,,,,,,,,,,,,,,,
1009,1,,どぅったい=かったい,,[duTai+kaTai], ,(名詞),178,,どちらかわからない。揺れ動くさま。,,,,,,,【例】はいない にちない どぅったい  かったい,〈南か北かどちらか分からない〉,,,,,,,,,,,,,,,,,,,,
1010,1,,どぅっとぅ,,[duTu],B,(名詞),178,,上手。立派。上等。,,,(語源)日本語ジョ ウトウ〈上等〉に対 応。,[zyautou>zyootuu>dooTuu>duTu],,,【例】どぅっとぅに ‘くいぶさるんがら、あさんき なら いんでぃ でぃー,〈上手に作りたいから、おじいさんに習いに行こう〉,う ぬ あがみや あがみてぃ んまない どぅーでぃどぅ あんす,〈この子供 は子供をあやすのが上手だね〉,あんか゚ かいむぬ かいし くたしや、に むぬや どっとぅに にー=ぶんてぃら,〈私が買い物から帰ってくるときに は、煮物はきちんと煮えているだろう〉,,,,,,,,,,,,,,,,
1011,1,,どぅてぃ,,[duTi],,(名詞),178,,よき。小形の斧(おの)。山仕事の際に木を伐ったり、材木を削ったりするのに用いる。,,,(語源)日本語ヨキ〈斧〉に対応。,[yoki >doci>doTi>duTi],,,【例】くぬ どぅてぃ むてぃ=いてぃてぃ てぃむぬ ばり,〈このよきを持っていって薪を割りなさい〉,,,,,,,,,,,,,,,,,,,,
1012,1,,どぅでぃ,,[dudi],,(名詞),179,,上手。,,,(語源)日本語ジョ ウズ〈上手〉に対応。,[zyauzu>zyoozi>dodi>dudi],,,【例】うぬ ‘とぅや うた どぅでぃどー,〈この人は歌が上手だ〉,,,,,,,,,,,,,,,,,,,,
1013,1,,とぅでぃち,,[tudiCi],C,(名詞),179,〔植物〕,ソテツ。が使用されている。,〔類〕にーばい,,,,,,【例】うちにんか゚いぬ ばすや びでぃりぬ すばに むい=ぶる とぅでぃちぬ はー あみてぃ うさい いりてぃ はい=ぶたん どー,〈牛馬繁殖の祈願の時には、ビディリの傍に生えているソテツの葉を編んでカゴを作り、ごちそうを入れて食べていたよ〉(関連用語)とぅでぃちぬ　ふてぃ,〈ソテツの箒〉(文化的・民俗学的背景)「びでぃり」は祈願を行うため の霊石で、屋敷の東南、田や畑近く、あるいは牧場周辺のソテツに囲われた 場所にある。屋敷の安泰、農作物の豊穣、牛馬、山羊の繁殖を祈願する。珊瑚 石や「ふりし」,〈砂岩〉,,,,,,,,,,,,,,,,,,
1014,1,,どぅでぃるん,,[dudir-],,(動詞),179,,茹(ゆ)でる。,,,(語源)日本語ユデル〈茹でる〉に対応。,[yude- >dude(r)->dudir-],,,【例】ぐんな だらーたてぃ なるた どぅんき,〈長命草が柔らかくなるまで茹でなさい〉,,,,,,,,,,,,,,,,,,,,
1015,1,,どぅどぅ,,[dudu],,(名詞),179,,用事。,,,(語源)沖縄方言ユー ジュ /(0)yuu zu/ に対応。,,,,【例】どぅどぅ きんでぃ くるま ぬいてぃ くぶらんき ひるん,〈用事をしに、車に乗って久部良まで行く〉,,,,,,,,,,,,,,,,,,,,
1016,1,,とぅどぅきるん,,[tudugir-],B,(動詞),179,,届ける。,,,,,,,【例】あがみんき がっくぬ どぅんく゚ とぅどぅきるんでぃどぅ  いし=ぶる,〈子供に学校の道具を届けようとしている〉,,,,,,,,,,,,,,,,,,,,
1017,1,,とぅどぅぐん,,[tudug-],B,(動詞),179,,届く。,,,,,,,【例】だまぬちまんき にー とぅどぅとぅん,〈八重山に荷物が届いたよ〉,,,,,,,,,,,,,,,,,,,,
1018,1,,‘とぅ-とぅてぃ,,[TutuTi], ,(名詞),179,,(1)時々。,,,,,,,【例】かりや ‘とぅ-とぅてぃな ちまんき んなりるんど(くんど),〈彼は時々島に見えるよ(来るよ)〉,,,,,,,,,,,,,,,,,,,,
1018,2,,‘とぅ-とぅてぃ,,[TutuTi], ,(名詞),179,,一時期、一寸の間。ちょっとの間〈一時〉の意。,,,(語源)日本語ヒトトキ〈一時〉に対応。,[pitotoki>hitotoci>s(i)TotoTi>TutuTi],,,【例】‘とぅ-とぅてぃな ちまがら たいはんか゚ んなりるんど ,〈ちょっとの間、島から台湾が見えるよ〉,,,,,,,,,,,,,,,,,,,,
1019,1,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,1,,どぅどぅや,,[duduya],,(名詞),180,,用事、法事などの行われる家。手伝いする家。「どぅどぅ」は用事、「や」は家。,,,,,,,【例】すや はたぎ しかま だちみてぃ どぅどぅやんき ひりゃどぅ  なる,〈今日は畑仕事を休んで法事のある家に手伝いに行かないといけない〉,,,,,,,,,,,,,,,,,,,,
1021,1,,とぅない,,[tunai],C,(名詞),180,,隣。,,,(語源)日本語 トナリ〈隣〉に対応。,,,,【例】がっくぬ とぅないぬ みしや,〈学校の隣の店〉,ばやぬ とぅな いにどぅ うぬ だーや あん,〈私の家の隣にその家はある〉,,,,,,,,,,,,,,,,,,
1022,1,,とぅないさとぅ,,[TunaisaTu],,(名詞),180,,隣近所。,〔同〕きゃ-とぅない,,,,,,【例】 か り と ぅ や   と ぅ な い さ と ぅ   あ い て ぃ   ぐまるたがら かたたん,〈彼とは隣近所であったので、小さい頃から親しかった〉,,,,,,,,,,,,,,,,,,,,
1023,1,,どぅなが,,[dunaga],,(名詞),180,,夜中。,,,(語源)日本語ヨナカ〈夜中〉に対応。,[yonaka>donaga>dunaga],,,【例】どぅながに ふち んにんでぃ でぃ,〈夜中に星を見に行こう〉,,,,,,,,,,,,,,,,,,,,
1024,1,,とぅなみ,,[tunami],,(動名詞),180,,平坦にすること。,,,,,,,【例】あまだ びんだぎ はたぎ とぅなみ=うとぅぎ,〈サトウキビを植えるので畑を平坦にしておきなさい〉,,,,,,,,,,,,,,,,,,,,
1025,1,,どぅなん,,[dunaN],,(名詞),180,,与那国(よなぐに)。日本最西端の島。,,,(語源)ヨナグニ に対応。,[yonaguni>donaNN>dunaN],,(文化的・民俗学的背景)どぅなんの語源は植物「ユウナ」に由来しているとも、大海原に盛り上がった「どに」の 転訛であるともいわれている。「ユウナ」の語源は「ゆな」と呼ばれる海岸や 河川付近の沖積地に自生する樹木ということで命名されていた。さらにその「ゆな」の語源は、米、砂を意味する「よね」に求めることができる。与那城家、 与那原家、与那嶺などと同じ系統の地名である。,【例】んかちがら どぅなんや なさぎ ぬ ちまんでぃ んだり=ぶる,〈与那国島は昔から情けの島といわれている〉,かりや ドゥナンぬ なまりや とぅんでぃらぬんすや。 うんなぬ ち まに なーさ ぶたる=はでぃや,〈彼は与那国のなまりはでないね。沖縄本 島に長らくいたはずだね〉,どぅなんとぅや まびん まとぅまらぬとぅ  ならぬん,〈与那国の人間はもっと団結しないといけないね〉,,,,,,,,,,,,,,,,
1026,1,,‘とぅに,,[Tuni],,(名詞),181,,集落の中心、始まりの地。創始者の屋敷跡を指す。拝所。冬祭に祭礼が行われる。当て漢字は「邑根」。(文化的・民俗学的背景)先祖の霊は元屋敷に宿るという信仰に基づくもので、現在も嶋仲や祖納、帆安など、いまや廃村となった集落の宗家の陽石や香炉の前で祭礼が行われている。,,,,,,,【例】くまや どぅなんばらむらぬ ‘とぅにどぅ  あたるど,〈ここは与那原村の創始者の屋敷跡だったよ〉,,,,,,,,,,,,,,,,,,,,
1027,1,,‘とぅにゃ,,[Tunya],,(名詞),181,,他人の家。,〔同〕‘とぅぬだー。〈人の家〉の意。,,(語源)ヒトノヤ〈人の家〉に対応。,[pitonoya>hitonoya>s(i)Tonya a>Tunya],,,【例】‘とぅー いすがさんとぅ  あんでぃや ‘たー とぅにゃんき くんすや,〈人が忙しいのに何度も人の家に来るとは〉,,,,,,,,,,,,,,,,,,,,
